cell,region,w,a1,a2,corr,eo
b-tonic-46,tonic,6.57214428361,19.7522725366,-0.525187418754,0.6117075212966944,0.6578188156352403
b-tonic-50,tonic,9.88888155824,18.6563179741,-0.302469810338,0.4605939680641216,0.6093635404638221
b-tonic-21,tonic,6.95867625089,21.4076665583,-0.465943062119,0.6728966210458959,0.6696079748919099
b-tonic-38,tonic,9.47032187822,15.9633545158,-0.288461092914,0.41391188926716876,0.6271986115577606
b-tonic-30,tonic,7.31765578045,10.7066871244,-0.457621276029,0.4791307878173991,0.621856220017365
b-tonic-6,tonic,7.37729571148,13.8972187447,-0.463348529511,0.3443854240500652,0.6549897894214224
b-tonic-22,tonic,7.01466003299,22.37011106,-0.47205172921,0.6213823141249454,0.645377012657921
b-tonic-47,tonic,7.60330497266,17.8981527759,-0.449171848004,0.6811686991222152,0.6596612109645559
b-tonic-44,tonic,7.11221565874,12.6760002513,-0.543239170041,0.3937583930082981,0.5792381439002154
b-tonic-45,tonic,7.2494774782,14.1297149082,-0.509180274498,0.6433111483220925,0.639086764621492
b-tonic-55,tonic,7.07346896194,21.0233856639,-0.58800444614,0.7002216496709949,0.6319786082489152
b-tonic-9,tonic,9.41978363847,17.3970415491,-0.371419922383,0.4318887659925303,0.5569628176332336
b-tonic-19,tonic,9.38432021618,12.4424444223,-0.280128061501,0.22706040623886603,0.6263183210716047
b-tonic-33,tonic,10.3208914762,10.501825774,-0.0837443122327,0.5183138021441428,0.584220535595964
b-tonic-49,tonic,9.68385481595,20.9603670199,-0.316768888876,0.5092995327035525,0.632792857531747
b-tonic-8,tonic,6.54557671734,21.6620822166,-0.516014814741,0.41469578646030825,0.619354692609936
b-tonic-53,tonic,10.4189656889,18.1864787,-0.377206487811,0.46495096474478353,0.6100121244987486
b-tonic-15,tonic,7.33830007614,13.9202356064,-0.514809174268,0.5850900983813232,0.6487152944890374
b-tonic-41,tonic,7.44438190176,16.3345160844,-0.475879634454,0.646641492718089,0.6573924621727835
b-tonic-52,tonic,7.04351564275,19.4531779522,-0.505581245737,0.6405966804709613,0.652112279025907
b-tonic-17,tonic,7.12491410154,21.0421933674,-0.517298531758,0.541785550024212,0.6594712032941867
b-tonic-23,tonic,7.17036249164,12.1579301183,-0.493182059984,0.5584994575847674,0.6357159279390658
b-tonic-48,tonic,10.0514744773,21.9337055813,-0.31048345305,0.5210961277319588,0.6218097462713117
b-tonic-43,tonic,7.04097260793,15.1581798074,-0.511504611974,0.6236437710444598,0.6194666520406893
b-tonic-27,tonic,6.30317437854,19.0964991752,-0.559613378817,0.4978732837681345,0.6158418240737993
b-tonic-5,tonic,9.25060629838,13.0492673845,-0.24325422471,0.3540755350782076,0.6042810876054516
b-tonic-51,tonic,6.93110697365,20.9608292999,-0.447051271308,0.662322330918021,0.6505366014369305
b-tonic-2,tonic,6.76238545467,23.3186086052,-0.420520945467,0.5867937116568548,0.62023006703985
b-tonic-13,tonic,9.70866148198,16.657097983,-0.350017688654,0.49544375716817135,0.5907592139722034
b-tonic-34,tonic,7.35656082581,13.8529727897,-0.512307093814,0.6821323086508718,0.6716735806123262
b-tonic-29,tonic,9.16872680758,17.1858425693,-0.317775507789,0.40792937290244363,0.5812382738038965
b-tonic-24,tonic,6.78999566765,18.184532369,-0.542722741863,0.33521766303862394,0.6362145855265537
b-tonic-11,tonic,9.34399471633,15.3698041232,-0.261689426804,0.4519427442723929,0.5815388816320691
b-tonic-20,tonic,6.67570225533,17.4790747452,-0.559656602099,0.6140292390001316,0.6437971630570423
b-tonic-16,tonic,7.1784542099,15.9230164523,-0.53493712484,0.5504334521373168,0.6198878865197419
b-tonic-4,tonic,10.1316099146,18.9534417864,-0.343183533686,0.48093700093039476,0.5399414288562415
b-tonic-42,tonic,10.0894831097,17.1510829313,-0.380243422597,0.4858923399988703,0.6498909149727722
b-tonic-28,tonic,7.63310328023,15.1577861648,-0.502103603955,0.6229395712919609,0.604798265663863
b-tonic-58,tonic,8.87103506946,14.5801353634,-0.311818975163,0.49704679968685017,0.614717492724235
