Model,RF,NoiseType,SNR,MinRate,MaxRate,AvgRate,MIBins,MI,Total,Noise,Selectivity,RFType,Latency,Freq,SigmaT,OmegaT,SigmaF,OmegaF,Pt
phasic,55,red,4,0,23.2339308326,1.47421686746988,15,1.8537088148,3.06246233541,1.20875352061,0.125603642354,BB,0.0100057580983,2425.04491278626,0.00413978371111,46.3792346167,1048.14881719429,0.000190812599049975,1.57079632679
phasic,56,red,4,0,33.108562978,2.03855421686747,15,1.51918501299,3.02014457113,1.50095955813,0.191298741308,NB,0.0180159765542,4890.48723573555,0.00980609405531,19.5796612716,239.491648482,0.00167020437888,0
phasic,57,red,4,0,27.5903930251,1.64,15,1.59803796682,2.96278191249,1.36474394567,0.166258218066,NB,0.0175668942659,5097.31258327979,0.0150008364333,12.7992862834,218.667140592,0.00182926432804,0
phasic,58,red,4,0,42.7161794649,2.12674698795181,15,1.4875367249,2.90555844775,1.41802172285,0.279589426312,NB,0.0138314241381,847.623983730938,0.0031017313991,61.9009112315,344.899261832,0.00115975893331,0
phasic,59,red,4,0,38.9509218385,2.27421686746988,15,1.46710092441,2.89712288028,1.43002195587,0.0986597909223,BB,0.0184215928671,4844.82624207901,0.0068274846059,28.1216305979,1199.32044479232,0.000166761102813213,1.57079632679
phasic,6,red,4,0,38.9509218385,1.9566265060241,15,1.43749930188,2.7992702023,1.36177090042,0.11777821987,BB,0.013973767239,5093.50588541876,0.00607683243698,31.5954079681,1550.45410172643,0.000128994466703207,1.57079632679
phasic,7,red,4,0,28.4774529766,1.25301204819277,15,1.51939046908,2.66339020468,1.1439997356,0.38250812787,NB,0.00764904451432,3301.09394418875,0.00544124325144,35.2860534124,451.771799242,0.000885402764563,0
phasic,8,red,4,0,25.9672812257,1.81975903614458,15,1.80996257009,3.07544371415,1.26548114406,0.100414946585,BB,0.0138477210024,2816.92864323418,0.010393473678,18.4731309231,1813.43789230323,0.00011028775832294,1.57079632679
phasic,9,red,4,0,28.7899580626,0.87855421686747,15,1.25086043335,2.19123576999,0.940375336638,0.451681188683,NB,0.0112244838458,3565.6838961247,0.00245561901994,78.1880244619,343.641444831,0.00116400395242,0
tonic,0,red,4,0,38.9509218385,1.71180722891566,15,1.14187169307,2.5239248547,1.38205316163,0.180775389159,BB,0.00931335571656,4600.23581255083,0.00921102550893,20.8445845486,3120.44659960073,6.40933897172253e-05,1.57079632679
tonic,1,red,4,0,33.108562978,2.14698795180723,15,1.37968470399,3.14244173819,1.7627570342,0.0740674965718,BB,0.0170295653291,4271.8213999531,0.00739695232978,25.9566361171,1716.74488535063,0.000116499546150768,1.57079632679
tonic,10,red,4,0,38.9514275698,2.01638554216867,15,1.17026188016,2.90603512209,1.73577324194,0.184664503244,NB,0.0166212250794,3308.1725030879,0.00914970706276,20.984278369,496.185205215,0.000806150598195,0
tonic,11,red,4,0,33.5889828136,2.03518072289157,15,1.30980497087,3.08118570705,1.77138073618,0.207911273092,NB,0.00670269815782,3570.89050477556,0.00390212476346,49.2039623637,384.092922454,0.00104141465936,0
tonic,12,red,4,0,26.2765130016,1.50650602409639,15,1.36144815597,2.83480227219,1.47335411622,0.251200784792,NB,0.0130214359728,3643.86651893304,0.00313566172903,61.2310946116,797.049999713,0.000501850574172,0
tonic,13,red,4,0,33.108562978,1.77156626506024,15,1.21438199442,2.86156204017,1.64718004575,0.24780488028,NB,0.0147318236058,5130.64956798955,0.00518930323935,36.9991868164,464.333103069,0.000861450534878,0
tonic,14,red,4,0,42.7161794649,2.20867469879518,15,1.1508749971,2.89236210077,1.74148710368,0.214899027826,NB,0.00830696052455,4118.77903691323,0.00592195571662,32.4217216723,329.907966935,0.00121245935258,0
tonic,15,red,4,0,33.1081975897,1.62795180722892,15,1.18192372942,2.86237609034,1.68045236092,0.098605470076,BB,0.0133570710788,4508.92705906928,0.00484017126835,39.6680177942,1749.10516335113,0.000114344182494332,1.57079632679
